City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,ulkan,80,RU,1581030220,95,57.24,107.32,-0.6,5.23
88,new norfolk,90,AU,1581030054,72,-42.78,147.06,63.0,9.17
89,sinop,100,TR,1581030120,85,41.77,34.87,45.18,25.99
90,tikrit,61,IQ,1581030220,42,34.61,43.68,57.09,10.51
91,port macquarie,90,AU,1581030144,100,-31.43,152.92,78.01,5.82
92,finnsnes,40,NO,1581030220,79,69.23,17.98,30.0,17.22
93,busselton,94,AU,1581030047,57,-33.65,115.33,72.0,6.4
94,yellowknife,75,CA,1581029841,76,62.46,-114.35,-4.0,5.82
95,alegrete,34,BR,1581029993,40,-29.78,-55.79,86.38,5.88
96,emirdag,94,TR,1581030220,88,39.02,31.15,27.1,6.15
97,quesnel,75,CA,1581030221,86,53.0,-122.5,28.4,1.19
98,goderich,100,CA,1581030173,86,43.75,-81.72,27.0,13.87
99,ankang,4,CN,1581030055,90,32.68,109.02,30.36,1.16
100,wallenhorst,90,DE,1581030051,80,52.35,8.02,42.01,1.12
101,iqaluit,75,CA,1581030009,61,63.75,-68.51,-20.0,16.11
102,port hedland,40,AU,1581030087,74,-20.32,118.57,84.2,16.11
103,bluff,50,NZ,1581030052,63,-46.6,168.33,57.99,14.0
104,mabaruma,24,GY,1581030185,90,8.2,-59.78,71.4,3.09
105,batagay-alyta,0,RU,1581030221,83,67.8,130.41,-28.23,3.87
106,xocotla,21,MX,1581030221,93,19.03,-97.1,61.09,3.96
107,cayenne,20,GF,1581030004,69,4.93,-52.33,78.8,5.82
108,saldanha,77,ZA,1581030066,72,-33.01,17.94,62.6,9.17
109,ribeira grande,100,PT,1581030053,93,38.52,-28.7,59.38,27.0
110,tasiilaq,100,GL,1581030065,79,65.61,-37.64,32.0,10.29
111,bairiki,75,KI,1581030222,79,1.33,172.98,86.0,13.87
112,jamestown,90,US,1581030057,92,42.1,-79.24,35.6,10.29
113,dikson,100,RU,1581030047,90,73.51,80.55,20.39,11.77
114,saint-philippe,3,RE,1581030049,65,-21.36,55.77,78.8,6.93
115,najran,61,SA,1581030073,48,17.49,44.13,62.6,2.24
116,koumac,98,NC,1581030222,61,-20.57,164.28,84.2,12.48
117,conakry,0,GN,1581030222,88,9.54,-13.68,80.6,3.67
118,ilulissat,75,GL,1581030073,78,69.22,-51.1,14.0,8.05
119,kodiak,90,US,1581030060,80,57.79,-152.41,33.8,4.7
120,natal,40,BR,1581030222,78,-5.79,-35.21,82.4,9.17
121,guadix,100,ES,1581030222,93,37.3,-3.14,46.4,3.18
122,kaitangata,60,NZ,1581030071,55,-46.28,169.85,61.0,8.01
123,bredasdorp,90,ZA,1581030048,88,-34.53,20.04,63.0,11.41
124,sabang,99,ID,1581030223,76,5.89,95.32,81.79,16.42
